SEX,AGER,EDUR,DEM02A,DEM02B,DEM02C,DEM02D,DEM02E,DEM02F,DEM02G,vahy,vlna
2,2,4,2,2,3,3,2,3,2,.302877472203511,26
1,3,2,3,2,3,4,2,1,2,.798336349120598,26
1,3,2,4,3,2,2,1,3,1,.551700176026897,26
2,3,2,3,3,2,5,3,2,2,.698911802629967,26
1,2,4,2,2,3,3,3,2,1,1.81092537164122,26
1,3,3,3,2,2,3,2,2,2,2.84412320985398,26
1,3,3,3,1,3,4,2,1,1,.804473694108442,26
1,3,3,4,2,1,4,1,2,2,.467791077376309,26
1,3,3,3,3,1,3,1,2,2,1.11011072489342,26
1,3,3,3,3,2,3,2,1,2,.804473694108442,26
1,3,3,2,3,3,3,2,2,2,.589822450990754,26
2,2,4,3,2,1,2,1,3,3,1.79875018683512,26
2,2,4,2,2,5,3,2,2,1,.751601530912631,26
1,3,2,4,3,2,2,1,2,4,.750333480616141,26
1,3,2,4,3,2,2,2,3,3,2.37921095661862,26
1,3,2,3,3,2,2,5,3,2,3.00278655832762,26
1,3,2,3,2,2,2,2,2,3,.750333480616141,26
2,2,4,3,3,2,2,2,2,3,.441033602883673,26
2,2,4,3,3,3,3,2,3,3,.306004197746215,26
2,2,4,5,1,5,5,2,2,2,.301816875679334,26
2,2,4,3,3,2,3,2,3,3,1.67573927498368,26
2,5,1,5,5,2,3,4,5,4,1.15467733017389,26
2,5,1,2,1,1,1,2,1,1,.320108667995319,26
2,2,4,3,5,5,5,5,5,5,.546507112794758,26
2,2,4,3,3,1,2,2,2,3,1.75043252622595,26
2,3,2,5,5,5,1,2,5,5,2.89311668774523,26
1,3,2,4,5,1,4,1,2,3,1.41845030053866,26
2,3,2,3,2,5,5,1,3,1,1.66628051073297,26
